filename,description
Food_Group__p10_img1.png,A tall glass of orange juice with ice cubes.
Food_Group__p10_img2.png,"A glass mug filled with dark beer, topped with foam."
Food_Group__p10_img3.png,A tall glass of iced tea with a lime slice garnish.
Food_Group__p10_img4.png,"A tall glass of ginger ale with ice, next to ginger slices."
Food_Group__p11_img1.png,An assortment of various sliced and wedge-shaped cheeses arranged on a flat surface.
Food_Group__p11_img2.png,A small glass bowl of custard dessert.
Food_Group__p11_img3.png,A glass and a jug of milk.
Food_Group__p11_img4.png,A bowl of cream of mushroom soup topped with sliced mushrooms and black pepper.
Food_Group__p11_img5.png,"Three scoops of ice cream (strawberry, chocolate, vanilla) in a bowl with a wafer stick and a mint garnish."
Food_Group__p11_img6.png,A single serving of flan on a plate with a spoon.
Food_Group__p11_img7.png,A small bowl of strawberry yogurt.
Food_Group__p12_img1.png,A glass of milk and a small bowl of uncooked rice on a mat.
Food_Group__p12_img2.png,A glass of almond milk and a handful of almonds.
Food_Group__p12_img3.png,A bowl of cottage cheese garnished with a sprig of mint.
Food_Group__p12_img4.png,Two blocks of tofu on a plate with fresh herbs.
Food_Group__p12_img5.png,"Three scoops of sorbet, one red and one yellow, with mint garnish in a glass dish."
Food_Group__p12_img6.png,Three colorful ice popsicles on sticks.
Food_Group__p13_img1.png,Two open oysters on a white background.
Food_Group__p13_img2.png,Two whole sardines.
Food_Group__p13_img3.png,A raw portion of beef liver on a white surface.
Food_Group__p13_img4.png,A portion of raw liver on a white background.
Food_Group__p13_img5.png,A portion of bright orange salmon roe on a white background.
Food_Group__p13_img6.png,"Assorted raw organ meats including liver, kidneys, heart, and tripe, placed together in varying portions."
Food_Group__p14_img1.png,"A whole raw chicken, unseasoned and uncooked."
Food_Group__p14_img10.png,Four raw pork chops on a white background.
Food_Group__p14_img2.png,"A whole raw chicken, uncooked and unseasoned, placed on a white background."
Food_Group__p14_img3.png,A single whole round scad fish.
Food_Group__p14_img4.png,A whole raw barramundi fish.
Food_Group__p14_img5.png,Two raw salmon fillets stacked together.
Food_Group__p14_img6.png,A raw ribeye steak on a white background.
Food_Group__p14_img7.png,Two raw beef steaks stacked.
Food_Group__p14_img8.png,A collection of six brown and white eggs.
Food_Group__p14_img9.png,"A raw rack of lamb with five rib bones, uncooked."
Food_Group__p15_img1.png,A pile of assorted milk chocolates with various decorative patterns.
Food_Group__p15_img2.png,Three pieces of caramel candy.
Food_Group__p15_img3.png,Three blueberry muffins.
Food_Group__p15_img4.png,An assortment of sliced cured meats on a wooden cutting board.
Food_Group__p15_img5.png,Three uncooked strips of bacon.
Food_Group__p15_img6.png,Six uncooked hot dog sausages stacked together.
Food_Group__p15_img7.png,A whole pepperoni pizza with a golden crust.
Food_Group__p15_img8.png,A bowl of brown sugar with a wooden spoon.
Food_Group__p16_img1.png,Two whole apples and one apple slice.
Food_Group__p16_img2.png,"A mixed pile of strawberries, blueberries, blackberries, and raspberries."
Food_Group__p16_img3.png,A bunch of purple grapes with green leaves.
Food_Group__p16_img4.png,Carrot sticks in a pile.
Food_Group__p16_img5.png,"A whole cucumber with several slices cut from it, arranged on a flat surface."
Food_Group__p16_img6.png,Three rice cakes stacked together.
Food_Group__p16_img7.png,A pile of small salted pretzels.
Food_Group__p16_img8.png,A large container of popcorn with additional popcorn spilling over.
Food_Group__p17_img1.png,Four square saltine crackers.
Food_Group__p17_img2.png,A loaf of pound cake with three slices cut.
Food_Group__p17_img3.png,Three sugar cookies arranged side by side.
Food_Group__p18_img1.png,Three yellow bananas in a bunch.
Food_Group__p18_img10.png,"An assortment of mixed dried fruits, including figs, prunes, apricots, dates, and berries. Portion size not specified."
Food_Group__p18_img2.png,A whole orange with two halves of an orange alongside it.
Food_Group__p18_img3.png,A whole cantaloupe and a single slice of cantaloupe with orange flesh and green rind.
Food_Group__p18_img4.png,"Two kiwi fruits, one whole and one cut in half."
Food_Group__p18_img5.png,A whole yellow mango and half a scored mango with leaves.
Food_Group__p18_img6.png,"Half of a ripe papaya with seeds visible, next to a whole papaya."
Food_Group__p18_img7.png,Six dried prunes.
Food_Group__p18_img8.png,A whole pomegranate and a half pomegranate showing seeds.
Food_Group__p18_img9.png,Five whole dates in a cluster.
Food_Group__p19_img1.png,One whole avocado and a halved avocado with the pit intact.
Food_Group__p19_img10.png,A whole orange pumpkin with a green stem.
Food_Group__p19_img2.png,A whole head of broccoli.
Food_Group__p19_img3.png,Three whole Brussels sprouts.
Food_Group__p19_img4.png,Two whole sweet potatoes and three slices.
